OBJECTID_1,OBJECTID,ample_ID,ample_ID.1,Easting_ITM,Northing_ITM,Cu_mgkg_ICPar,Fe___ICPar,S___ICPar,Zn_mgkg_ICPar,Ag_mgkg_ICPar,As_mgkg_ICPar,Hg_mgkg_ICPar,Pb_mgkg_ICPar,Te_mgkg_ICPar,Au_mgkg_ICPar,Cs_mgkg_ICPar,Pd_mgkg_ICPar
2,2,580001,580001,636448.29,919025.99,32.9,4.77,0.03,66.7,0.068,7.03,0.071,15.95,0.12,0.0013,0.322,0.001
3,3,580002,580002,642931.19,948597.61,25.8,3.82,0.02,57.6,0.059,16.75,0.041,16.1,0.04,0.0017,0.351,0.003
4,4,580004,580004,632564.44,948546.72,6.81,1.77,0.1,25.7,0.079,5.15,0.112,17.8,0.09,0.0008,0.297,0.002
5,5,580005,580005,646281.44,947401.84,13.9,4.81,0.44,17.9,0.066,106.0,0.237,19.4,0.07,0.0005,0.175,0.003
6,6,580006,580006,662939.78,945411.12,23.2,3.83,0.03,58.2,0.103,6.05,0.072,27.1,0.27,0.0007,0.238,0.0005
7,7,580007,580007,644706.57,925373.56,56.3,1.75,0.19,44.0,0.293,6.04,0.099,23.5,0.07,0.0012,0.444,0.003
8,8,580008,580008,647224.02,924647.69,20.6,3.6,0.04,61.2,0.076,6.01,0.081,21.0,0.1,0.0008,0.501,0.001
9,9,580009,580009,647425.21,949378.4,27.7,1.765,0.07,69.0,0.038,5.94,0.034,19.0,0.04,0.0007,0.564,0.001
10,10,580010,580010,632979.29,942970.91,10.65,2.2,0.48,15.3,0.094,24.3,0.2,28.4,0.03,0.0006,0.17,0.0005
11,11,580011,580011,637543.36,948874.61,17.0,0.402,0.06,10.4,0.043,1.64,0.034,10.0,0.03,0.0007,0.345,0.0005
12,12,580013,580013,644895.84,956854.83,114.5,5.75,0.07,61.7,0.056,2.34,0.1,8.69,0.04,0.0019,1.17,0.011
13,13,580014,580014,649359.81,950918.06,21.3,2.31,0.02,45.3,0.092,3.55,0.044,11.0,0.03,0.0008,0.4,0.001
